Latitude,Longitude,FSA
43.64931735,-79.48446241,M6S
43.78927219,-79.19434398,M1C
43.83272697,-79.26790074,L3S
43.83344472,-79.25110267,M1X
43.79899361,-79.3059691,M1W
43.7703531,-79.37125652,M2K
43.7703531,-79.37125652,M2K
43.6496198,-79.43090052,M6J
43.6496198,-79.43090052,M6J
43.6496198,-79.43090052,M6J
43.6496198,-79.43090052,M6J
43.79203639,-79.19554057,M1E
43.72372445,-79.32472894,M3C
43.62233696,-79.51090712,M8Z
43.7582475,-79.36579073,M2L
43.68649774,-79.27278517,M1N
43.60651974,-79.50766696,M8V
43.75818169,-79.23307183,M1H
43.6582392,-79.35691196,M5A
43.75333149,-79.5426989,M9M
43.78593636,-79.27602801,M1S
43.74389129,-79.21562149,M1J
43.63562762,-79.57336139,M9C
43.69446769,-79.41893832,M5P
43.72373698,-79.27533689,M1K
43.6627883,-79.36317286,M5A
43.79325029,-79.24168087,M1S
43.72509486,-79.43596967,M6A
43.75120211,-79.46639061,M3J
43.66094031,-79.43040582,M6H
43.63867078,-79.41396163,M6K
43.70485076,-79.43753858,M6B
43.71211598,-79.41168332,M5N
43.71352864,-79.53409083,M9N
43.67960397,-79.54531999,M9R
43.68802069,-79.46788249,M6M
43.77262859,-79.18502341,M1E
43.74059588,-79.23931416,M1J
43.77727744,-79.28546249,M1T
43.6598557,-79.37851935,M5B
43.76510279,-79.52097411,M3N
43.7548446,-79.36041513,M2L
43.65333121,-79.45280122,M6R
